,Date,Open,High,Low,Close,Volume,Market Cap
791,"Jan 28, 2016",0.000020,0.000020,0.000015,0.000015,"1,057","184,886"
792,"Jan 27, 2016",0.000016,0.000020,0.000008,0.000020,"3,711","146,735"
793,"Jan 26, 2016",0.000009,0.000016,0.000008,0.000016,"1,296","80,915"
794,"Jan 25, 2016",0.000009,0.000012,0.000009,0.000009,164,"81,642"
795,"Jan 24, 2016",0.000012,0.000015,0.000008,0.000009,152,"111,627"
796,"Jan 23, 2016",0.000015,0.000016,0.000011,0.000012,560,"141,989"
797,"Jan 22, 2016",0.000008,0.000015,0.000008,0.000015,"1,491","78,425"
798,"Jan 21, 2016",0.000009,0.000017,0.000008,0.000008,"1,267","82,149"
799,"Jan 20, 2016",0.000009,0.000013,0.000008,0.000009,175,"86,318"
800,"Jan 19, 2016",0.000008,0.000013,0.000008,0.000009,200,"79,453"
801,"Jan 18, 2016",0.000008,0.000012,0.000008,0.000009,331,"79,512"
802,"Jan 17, 2016",0.000012,0.000012,0.000008,0.000008,146,"108,143"
803,"Jan 16, 2016",0.000011,0.000013,0.000009,0.000012,131,"102,286"
804,"Jan 15, 2016",0.000013,0.000013,0.000009,0.000011,97,"123,796"
805,"Jan 14, 2016",0.000013,0.000014,0.000013,0.000013,130,"119,314"
806,"Jan 13, 2016",0.000013,0.000017,0.000012,0.000013,61,"122,321"
807,"Jan 12, 2016",0.000013,0.000013,0.000009,0.000013,886,"125,855"
808,"Jan 11, 2016",0.000014,0.000014,0.000009,0.000013,"1,292","129,933"
809,"Jan 10, 2016",0.000013,0.000018,0.000013,0.000014,411,"125,594"
810,"Jan 09, 2016",0.000014,0.000018,0.000013,0.000013,621,"126,782"
811,"Jan 08, 2016",0.000014,0.000014,0.000009,0.000014,204,"128,385"
812,"Jan 07, 2016",0.000013,0.000018,0.000009,0.000014,244,"120,327"
813,"Jan 06, 2016",0.000013,0.000013,0.000012,0.000013,"1,524","123,628"
814,"Jan 05, 2016",0.000013,0.000016,0.000009,0.000013,135,"121,454"
815,"Jan 04, 2016",0.000012,0.000017,0.000009,0.000013,486,"109,998"
816,"Jan 03, 2016",0.000011,0.000017,0.000011,0.000012,480,"106,369"
817,"Jan 02, 2016",0.000015,0.000017,0.000011,0.000011,"2,473","138,945"
818,"Jan 01, 2016",0.000013,0.000016,0.000009,0.000015,700,"121,532"
819,"Dec 31, 2015",0.000013,0.000017,0.000012,0.000013,523,"117,036"
820,"Dec 30, 2015",0.000017,0.000017,0.000010,0.000013,347,"155,866"
821,"Dec 29, 2015",0.000013,0.000017,0.000013,0.000017,"2,705","118,160"
822,"Dec 28, 2015",0.000017,0.000019,0.000010,0.000013,"7,446","160,743"
823,"Dec 27, 2015",0.000014,0.000019,0.000012,0.000015,847,"132,161"
824,"Dec 26, 2015",0.000013,0.000017,0.000010,0.000015,343,"124,397"
825,"Dec 25, 2015",0.000014,0.000018,0.000013,0.000013,175,"127,149"
